 > > Restricted Access Control for OneDrive,⊡,⊡,✔
 > > Restricted Access Control for SharePoint,⊡,⊡,✔
 > > Restricted Content Discovery,⊡,⊡,✔
 > > Restricted Site Creation by Apps,⊡,⊡,✔
 > > SharePoint App Insights,⊡,⊡,✔
 > > SharePoint Catalog Management,⊡,⊡,✔
 > > Site Access Review,⊡,⊡,✔
 > > Site Change History Reports,⊡,⊡,✔
 > > Site Ownership Policy,⊡,⊡,✔
Microsoft 365 Copilot Sales Agent,+,+,+
Microsoft 365 Unattended RPA,Δ,Δ,Δ
